CMDLINE /home/grad/ccomp/21/luisfeliperamos/miniconda3/envs/tp2/bin/python3.9 main.py --dist euclidean --size 10 --alg twice_around_the_tree
MEM 1.394531 1669732093.1139
MEM 21.511719 1669732093.2142
MEM 35.347656 1669732093.3146
MEM 70.500000 1669732093.4148
MEM 92.968750 1669732093.5151
MEM 105.296875 1669732093.6154
MEM 109.910156 1669732093.7157
MEM 110.167969 1669732093.8160
MEM 110.425781 1669732093.9163
MEM 110.683594 1669732094.0165
MEM 111.199219 1669732094.1167
MEM 111.457031 1669732094.2170
MEM 113.777344 1669732094.3174
MEM 113.777344 1669732094.4177
MEM 117.902344 1669732094.5180
MEM 118.160156 1669732094.6182
MEM 118.675781 1669732094.7185
MEM 119.191406 1669732094.8188
MEM 121.769531 1669732094.9191
MEM 121.769531 1669732095.0193
MEM 155.593750 1669732095.1196
MEM 181.117188 1669732095.2199
MEM 206.125000 1669732095.3202
MEM 226.492188 1669732095.4205
MEM 250.468750 1669732095.5208
MEM 266.968750 1669732095.6211
MEM 281.406250 1669732095.7214
MEM 294.296875 1669732095.8217
MEM 305.382812 1669732095.9220
MEM 320.335938 1669732096.0223
MEM 326.781250 1669732096.1226
MEM 331.679688 1669732096.2229
MEM 334.773438 1669732096.3232
MEM 336.320312 1669732096.4235
MEM 322.957031 1669732096.5238
MEM 330.949219 1669732096.6241
MEM 337.394531 1669732096.7244
MEM 341.261719 1669732096.8247
MEM 346.933594 1669732096.9251
MEM 355.183594 1669732097.0254
MEM 356.988281 1669732097.1257
MEM 369.621094 1669732097.2260
MEM 376.066406 1669732097.3263
MEM 377.871094 1669732097.4266
MEM 378.128906 1669732097.5270
MEM 378.128906 1669732097.6272
MEM 378.128906 1669732097.7275
MEM 378.128906 1669732097.8278
MEM 378.128906 1669732097.9281
MEM 378.128906 1669732098.0284
MEM 378.128906 1669732098.1287
MEM 351.046875 1669732098.2291
MEM 159.187500 1669732098.3295
